,"ВРЕМЕННЫЕ РЯДЫ ДАННЫХ ПО ПОКАЗАТЕЛЯМ 2005-2024, Таблица C-11a Биогенные вещества в пресной воде – реки      
Беларусь",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,на 23.04.2025,,,,,,
,,Фосфаты (P),,,,,,,,,,,,,,,,,,,,
,,Единица,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Березина,мг P/л,0.07,0.08,0.10,0.07,0.08,0.11,0.08,0.10,0.10,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08
2,Вилия,мг P/л,0.02,0.03,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
3,Днепр,мг P/л,0.13,0.11,0.12,0.10,0.09,0.10,0.09,0.10,0.10,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06
4,Западная Двина,мг P/л,0.03,0.04,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.04,0.04,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04
5,Западный Буг,мг P/л,0.16,0.17,0.19,0.17,0.15,0.19,0.15,0.19,0.14,0.16,0.16,0.15,0.12,0.11,0.16,0.12,0.10,0.08,0.12,0.12
6,Мухавец,мг P/л,0.07,0.08,0.10,0.07,0.09,0.09,0.08,0.10,0.08,0.10,0.10,0.08,0.08,0.07,0.08,0.12,0.11,0.12,0.13,0.10
7,Неман,мг P/л,0.03,0.04,0.03,0.03,0.04,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.03,0.04,0.04
8,Припять,мг P/л,0.07,0.07,0.06,0.05,0.05,0.07,0.05,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.05,0.05
9,Свислочь,мг P/л,0.07,0.10,0.10,0.09,0.12,0.11,0.12,0.06,0.04,0.06,0.07,0.07,0.07,0.06,0.08,0.08,0.08,0.06,0.07,0.08
10,Сож,мг P/л,0.08,0.08,0.06,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.06,0.07,0.06,0.07,0.07,0.06,0.06,0.07
,,Нитраты (NO3),,,,,,,,,,,,,,,,,,,,
,,Единица,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Березина,мг NO3/л,5.22,4.56,5.31,5.66,4.60,4.91,3.72,5.54,5.22,4.56,5.27,7.18,6.15,4.70,5.22,5.89,5.61,4.78,4.46,5.75
2,Вилия,мг NO3/л,3.85,4.25,3.76,3.10,3.89,5.31,3.45,5.54,5.88,4.65,4.25,5.00,4.93,3.88,3.24,4.27,4.69,4.56,4.37,4.74
3,Днепр,мг NO3/л,4.16,5.18,5.35,5.40,3.98,3.98,4.60,4.21,4.42,4.65,4.79,4.41,4.29,4.92,5.04,4.67,4.47,4.41,4.66,4.85
4,Западная Двина,мг NO3/л,1.19,1.28,1.06,1.06,0.79,0.88,1.24,2.92,2.92,2.04,2.04,2.81,2.46,2.04,2.16,2.25,2.77,2.17,1.90,1.67
5,Западный Буг,мг NO3/л,4.16,5.53,6.86,5.75,4.78,4.78,5.45,3.90,6.37,5.54,3.86,6.46,5.53,7.14,6.57,6.31,6.93,5.60,4.87,4.50
6,Мухавец,мг NO3/л,4.56,4.87,5.04,5.04,4.82,4.34,4.07,2.26,5.35,3.63,2.84,6.13,5.05,3.80,4.01,3.50,4.66,4.18,3.88,3.97
7,Неман,мг NO3/л,2.48,2.17,4.47,4.82,5.22,6.46,5.40,4.34,4.91,5.76,4.56,4.99,5.92,4.84,4.10,4.47,6.47,5.74,4.57,4.53
8,Припять,мг NO3/л,11.47,10.98,9.07,1.94,1.94,1.77,1.55,2.04,2.52,3.10,2.53,2.49,2.97,2.90,2.12,3.45,2.78,2.85,2.70,2.67
9,Свислочь,мг NO3/л,4.82,5.53,5.89,4.91,4.78,6.99,6.86,4.25,4.12,4.87,5.27,6.38,7.05,6.74,6.03,6.05,5.95,5.32,4.16,4.88
10,Сож,мг NO3/л,3.23,3.85,3.98,3.85,3.27,2.65,3.59,3.28,3.72,3.85,4.39,3.93,3.76,4.49,4.58,4.27,4.52,4.59,4.71,4.80
,,,,,,,,,,,,,,,,,,,,,,
,Справочно:,,,,,,,,,,,,,,,,,,,,,
,По данным Министерства природных ресурсов и охраны окружающей среды Республики Беларусь.,,,,,,,,,,,,,,,,,,,,,
