indicator,entity,category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Фосфаты (P),Березина,Реки,0.07,0.08,0.1,0.07,0.08,0.11,0.08,0.1,0.1,0.08,0.09,0.09,0.0847,0.08,0.079,0.0753,0.0789,0.0871,0.0823,0.0839
Фосфаты (P),Вилия,Реки,0.02,0.03,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.04,0.0314,0.03,0.0295,0.0277,0.0327,0.0282,0.0294,0.0268
Фосфаты (P),Днепр,Реки,0.13,0.11,0.12,0.1,0.09,0.1,0.09,0.1,0.1,0.09,0.09,0.08,0.0709,0.07,0.0674,0.0711,0.0674,0.0645,0.0646,0.0648
Фосфаты (P),Западная Двина,Реки,0.03,0.04,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.04,0.04,0.06,0.0633,0.05,0.0529,0.0539,0.047,0.0376,0.0386,0.0437
Фосфаты (P),Западный Буг,Реки,0.16,0.17,0.19,0.17,0.15,0.19,0.15,0.19,0.14,0.16,0.16,0.15,0.1232,0.11,0.1611,0.1216,0.1008,0.084,0.116,0.1152
Фосфаты (P),Мухавец,Реки,0.07,0.08,0.1,0.07,0.09,0.09,0.08,0.1,0.08,0.1,0.1,0.08,0.0836,0.07,0.0812,0.1178,0.1131,0.1218,0.1255,0.1049
Фосфаты (P),Неман,Реки,0.03,0.04,0.03,0.03,0.04,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.0446,0.05,0.043,0.0407,0.038,0.0342,0.0426,0.0378
Фосфаты (P),Припять,Реки,0.07,0.07,0.06,0.05,0.05,0.07,0.05,0.06,0.06,0.05,0.05,0.06,0.0622,0.06,0.045,0.0481,0.0448,0.0458,0.0523,0.0478
Фосфаты (P),Свислочь,Реки,0.07,0.1,0.1,0.09,0.12,0.11,0.12,0.06,0.04,0.06,0.07,0.07,0.0674,0.06,0.0752,0.0814,0.0803,0.0556,0.065,0.0799
Фосфаты (P),Сож,Реки,0.08,0.08,0.06,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.0585,0.07,0.0596,0.0674,0.0678,0.0628,0.0632,0.0662
Нитраты (NO3),Березина,Реки,5.22,4.56,5.31,5.66,4.6,4.91,3.72,5.54,5.22,4.56,5.27,7.18,6.145,4.7,5.216,5.8891,5.605,4.782,4.457,5.746
Нитраты (NO3),Вилия,Реки,3.85,4.25,3.76,3.1,3.89,5.31,3.45,5.54,5.88,4.65,4.25,5.0,4.929,3.88,3.2405,4.2741,4.69,4.564,4.372,4.742
Нитраты (NO3),Днепр,Реки,4.16,5.18,5.35,5.4,3.98,3.98,4.6,4.21,4.42,4.65,4.79,4.41,4.286,4.92,5.0422,4.6709,4.471,4.407,4.66,4.85
Нитраты (NO3),Западная Двина,Реки,1.19,1.28,1.06,1.06,0.79,0.88,1.24,2.92,2.92,2.04,2.04,2.81,2.458,2.04,2.1636,2.2529,2.766,2.168,1.9,1.667
Нитраты (NO3),Западный Буг,Реки,4.16,5.53,6.86,5.75,4.78,4.78,5.45,3.9,6.37,5.54,3.86,6.46,5.527,7.14,6.5746,6.3103,6.93,5.596,4.873,4.499
Нитраты (NO3),Мухавец,Реки,4.56,4.87,5.04,5.04,4.82,4.34,4.07,2.26,5.35,3.63,2.84,6.13,5.046,3.8,4.0083,3.4961,4.659,4.183,3.876,3.969
Нитраты (NO3),Неман,Реки,2.48,2.17,4.47,4.82,5.22,6.46,5.4,4.34,4.91,5.76,4.56,4.99,5.917,4.84,4.0955,4.4661,6.472,5.741,4.567,4.53
Нитраты (NO3),Припять,Реки,11.47,10.98,9.07,1.94,1.94,1.77,1.55,2.04,2.52,3.1,2.53,2.49,2.972,2.9,2.1153,3.4475,2.779,2.847,2.698,2.669
Нитраты (NO3),Свислочь,Реки,4.82,5.53,5.89,4.91,4.78,6.99,6.86,4.25,4.12,4.87,5.27,6.38,7.048,6.74,6.0337,6.0521,5.95,5.315,4.155,4.879
Нитраты (NO3),Сож,Реки,3.23,3.85,3.98,3.85,3.27,2.65,3.59,3.28,3.72,3.85,4.39,3.93,3.762,4.49,4.5811,4.2667,4.52,4.593,4.714,4.802
Фосфаты (P),Выгонощанское,Озера,0.0197,0.0135,0.045,0.0275,0.0277,0.0145,0.017,0.027,0.025,0.016,0.019,,0.022,,0.024,,0.026,,0.031,
Фосфаты (P),Дривяты,Озера,,0.06,0.0212,0.004,0.0489,0.0117,0.006,0.035,0.009,0.012,0.014,,0.017,,0.007,,0.013,,0.018,
Фосфаты (P),Езерище,Озера,,,,,,0.0129,0.0113,0.005,0.007,0.006,0.008,,0.0085,,0.013,,0.014,,0.028,
Фосфаты (P),Лепельское,Озера,0.0211,0.0267,0.0137,0.0272,0.0222,0.0253,0.0394,0.009,0.02,0.025,,0.027,,0.0286,,0.009,,0.018,0.043,0.021
Фосфаты (P),Лосвидо,Озера,,,,,,0.0183,0.0144,0.013,0.01,0.011,0.024,,0.0195,,0.023,,0.014,,0.028,
Фосфаты (P),Лукомское,Озера,0.0134,0.0239,0.0336,0.0183,0.0336,0.0387,0.0355,0.014,0.03,0.015,,0.017,,0.0065,,0.008,,0.029,,0.009
Фосфаты (P),Мядель,Озера,0.0007,0.0141,0.005,0.005,0.0061,0.0056,0.0061,0.005,0.016,0.008,,0.009,,0.0108,,0.014,,0.007,,0.007
Фосфаты (P),Мястро,Озера,0.0051,0.0115,0.0063,0.0051,0.0088,0.0084,0.0108,0.011,0.017,0.004,0.006,,0.0065,,0.009,,0.013,,0.014,
Фосфаты (P),Нарочь,Озера,0.0019,0.007,0.0053,0.0051,0.0078,0.0078,0.0054,0.007,0.007,0.008,0.004,0.01,,0.0081,,0.016,,0.01,,0.006
Фосфаты (P),Нещердо,Озера,0.006,0.0241,0.0102,0.0063,0.007,0.0111,0.0128,0.007,0.013,0.01,,0.014,,0.01,,0.013,,0.017,0.047,0.0085
Фосфаты (P),Освейское,Озера,,,,,,0.0108,0.0122,0.012,0.008,0.016,0.005,,0.008,,0.004,,0.008,,0.011,
Фосфаты (P),Ричи,Озера,,0.0416,0.0036,0.0031,0.0145,0.0058,0.005,0.019,0.006,0.012,0.007,,0.01,,0.004,,0.007,,0.006,
Фосфаты (P),Свирь,Озера,,0.0196,0.005,0.005,0.006,0.0052,0.0063,0.011,0.013,0.008,0.005,,0.005,,0.005,,0.016,,0.011,
