m,n,T_seq,T_pipeline,S,E
1,4,4.0,4.0,1.0,0.25
2,4,8.0,5.0,1.6,0.4
3,4,12.0,6.0,2.0,0.5
4,4,16.0,7.0,2.2857142857142856,0.5714285714285714
5,4,20.0,8.0,2.5,0.625
6,4,24.0,9.0,2.6666666666666665,0.6666666666666666
8,4,32.0,11.0,2.909090909090909,0.7272727272727273
10,4,40.0,13.0,3.076923076923077,0.7692307692307693
12,4,48.0,15.0,3.2,0.8
15,4,60.0,18.0,3.3333333333333335,0.8333333333333334
20,4,80.0,23.0,3.4782608695652173,0.8695652173913043
25,4,100.0,28.0,3.5714285714285716,0.8928571428571429
30,4,120.0,33.0,3.6363636363636362,0.9090909090909091
40,4,160.0,43.0,3.7209302325581395,0.9302325581395349
50,4,200.0,53.0,3.7735849056603774,0.9433962264150944
75,4,300.0,78.0,3.8461538461538463,0.9615384615384616
100,4,400.0,103.0,3.883495145631068,0.970873786407767
